id_municipio,ano,incremento,floresta
1302603,2019,6.1,6972.3
1302603,2020,6.7,8576.7
1302702,2014,29.3,35084.7
1302702,2015,73.4,41824.6
1302702,2016,86.2,41804.6
1302702,2017,100.0,41688.4
1302702,2018,81.6,41595.5
1302702,2019,82.0,34525.0
1302702,2020,80.0,41451.5
1302801,2014,2.2,13093.9
1302801,2015,0.1,13690.3
1302801,2016,1.8,2455.0
1302801,2017,1.1,12730.6
1302801,2018,1.2,12782.1
1302801,2019,1.1,13851.3
1302801,2020,0.9,14636.9
1302900,2014,13.5,36292.5
1302900,2015,9.8,35540.8
1302900,2016,38.6,36260.3
1302900,2017,20.7,36330.5
1302900,2018,6.7,36197.3
1302900,2019,16.2,36259.0
1302900,2020,21.4,36424.7
1303007,2014,2.7,6121.4
1303007,2015,4.8,11436.4
1303007,2016,1.4,7318.5
1303007,2017,2.1,11254.6
1303007,2018,5.0,11538.7
1303007,2019,3.0,12084.3
1303007,2020,3.8,11636.0
1303106,2014,2.5,3111.3
1303106,2015,5.9,4379.8
1303106,2016,3.8,4261.9
1303106,2017,3.8,4460.1
1303106,2018,2.1,4440.6
1303106,2019,6.0,4450.5
1303106,2020,6.1,4460.7
1303205,2014,1.3,33066.6
1303205,2015,0.6,35983.1
1303205,2016,0.9,19671.8
1303205,2017,1.6,36192.8
1303205,2018,0.7,32858.7
1303205,2019,4.0,35550.9
1303205,2020,0.8,35181.0
1303304,2014,25.9,35808.9
1303304,2015,53.4,38021.5
1303304,2016,153.6,37226.3
1303304,2017,127.4,37507.1
1303304,2018,141.5,37577.8
1303304,2019,232.4,35985.5
1303304,2020,111.1,37265.9
1303403,2014,5.6,1132.7
1303403,2015,3.2,1542.6
1303403,2016,1.1,1428.3
1303403,2017,2.0,1402.3
1303403,2018,2.8,1079.1
1303403,2019,3.5,1532.7
1303403,2020,3.0,1546.8
1303502,2014,9.8,41798.1
1303502,2015,6.6,42213.6
1303502,2016,5.8,42271.8
1303502,2017,14.2,42157.3
1303502,2018,8.6,38716.5
1303502,2019,10.7,42274.1
1303502,2020,25.5,42263.7
1303536,2014,6.5,15092.8
1303536,2015,7.3,21162.0
1303536,2016,6.4,13041.6
1303536,2017,12.0,18305.0
1303536,2018,6.2,14390.6
1303536,2019,9.7,20343.5
1303536,2020,9.4,17710.5
1303569,2014,1.2,4261.5
1303569,2015,1.6,5227.6
1303569,2016,4.0,5137.5
1303569,2017,2.7,4899.8
1303569,2018,1.9,1734.6
1303569,2019,3.8,5057.7
1303569,2020,3.0,5173.4
1303601,2014,0.9,54397.2
1303601,2015,0.5,57760.7
1303601,2016,0.5,21796.0
1303601,2017,0.9,54949.9
1303601,2018,0.8,51664.4
1303601,2019,3.4,57985.8
1303601,2020,1.1,59778.8
1303700,2014,2.0,11544.5
1303700,2015,0.1,9350.8
1303700,2016,1.0,10759.2
1303700,2017,1.5,11113.9
1303700,2018,0.5,7076.9
1303700,2019,0.7,10619.6
1303700,2020,3.1,11523.0
1303809,2014,1.9,62238.3
1303809,2015,0.6,83916.6
1303809,2016,1.7,65808.7
1303809,2017,1.2,89590.0
1303809,2018,1.9,46249.1
1303809,2019,7.7,88246.8
1303809,2020,6.6,102415.3
1303908,2014,1.2,15176.1
1303908,2015,0.3,16741.8
